learning style,gpa,student semester,major,previous courses,course types,course subjects,subjects of interest,extracurricular activities,shap_feature_0,shap_feature_1,shap_feature_2,shap_feature_3,shap_feature_4,shap_feature_5,shap_feature_6,shap_feature_7,shap_feature_8,predicted_class,target,model
0.50464773,2.12,4.0,0.5038685,0.85223144,0.49503082,0.53862023,0.5066779,0.46714258,-0.002397013087000732,-0.0014436245520082502,0.00042670162309011865,0.00026038055038908863,-0.0010608464258356103,-0.0027531154779645638,0.01551272890685773,-0.008515969149243949,0.00010762954199823702,0.9182492151195039,Ethnoracial Group,Linear Regression
0.50464773,3.12,5.0,0.51963246,0.5768323,0.4961415,0.50415605,0.52214134,0.4625796,-0.002397013087000732,0.00024522026784230073,0.00030373285562898934,-0.0006386049782723625,-0.00020142983537233756,-0.00473892085672152,0.004238923351964132,0.0028943273250281944,0.00012682820592540238,0.9179454064382409,Ethnoracial Group,Linear Regression
0.50464773,3.91,6.0,0.47708422,0.71724033,0.49326536,0.47286057,0.5091858,0.46584684,-0.002397013087000732,0.0015794076755242358,0.00018076408816786006,0.001787831781908105,-0.0006395902102241433,0.0004033832111089336,-0.005998347816740903,-0.006665418267433227,0.00011308134691453843,0.9064764419114439,Ethnoracial Group,Linear Regression
0.50464773,2.57,14.0,0.5135263,0.6336904,0.49713477,0.51388574,0.52136606,0.5902068,-0.002397013087000732,-0.0006836443830755027,-0.0008029860515211744,-0.0002903834986637228,-0.00037886246803132056,-0.006514806718137813,0.007421666512236409,0.002322257032093749,-0.00041016115645732223,0.9163784093706635,Ethnoracial Group,Linear Regression
0.50464773,2.61,5.0,0.51738775,0.43501395,0.4904812,0.5145079,0.5119271,0.45592058,-0.002397013087000732,-0.0006160905902814806,0.00030373285562898934,-0.0005105938816924681,0.00024113161497252216,0.005381234530408619,0.007625185379188503,-0.004642644180624494,0.00015484592396586546,0.9236521317537854,Ethnoracial Group,Linear Regression
0.5048317,3.47,11.0,0.5371097,0.30658233,0.49476072,0.4888652,0.5040356,0.56148285,0.0015864605414409728,0.0008363159547899936,-0.0004340797491377865,-0.0016352952668130087,0.0006419181423671779,-0.0022701986767236755,-0.0007629675872383699,-0.01046569226221035,-0.0002893056053239174,0.9053194986803685,Ethnoracial Group,Linear Regression
0.50479937,2.52,9.0,0.5221081,0.30653518,0.49067768,0.5237623,0.5098185,0.45145604,0.0008864241093727227,-0.00076808662406803,-0.00018814221421552786,-0.0007797855277139654,0.000642065279690266,0.0050299442930601896,0.01065245328828157,-0.006198556134604361,0.00017363040319860092,0.9275622900622196,Ethnoracial Group,Linear Regression
0.50464773,3.74,4.0,0.5038685,0.5895269,0.49428052,0.5284233,0.5068652,0.52741605,-0.002397013087000732,0.0012923040561496424,0.00042670162309011865,0.00026038055038908863,-0.00024104488227951043,-0.0014116401874387,0.012177143784076312,-0.008377762609843195,-0.0001459700999581351,0.9196954423364048,Ethnoracial Group,Linear Regression
0.5048317,3.98,3.0,0.5038685,0.74939245,0.4917074,0.49659216,0.4941473,0.53854907,0.0015864605414409728,0.0016976268129137743,0.000549670390551248,0.00026038055038908863,-0.0007399248203705875,0.0031888888003768065,0.0017646493347496341,-0.017762156349537973,-0.00019281210002703957,0.9084651263497054,Ethnoracial Group,Linear Regression
0.50464773,3.0,0.0,0.5038685,0.5016343,0.4990823,0.49378335,0.5284184,0.47200477,-0.002397013087000732,4.2558889460234444e-05,0.0009185766929346359,0.00026038055038908863,3.3234691066115276e-05,-0.009996831738206941,0.000845840943526034,0.007526098495401287,8.71719568762279e-05,0.9154323605836652,Ethnoracial Group,Linear Regression
0.5049677,3.39,5.0,0.5449382,0.69016385,0.49237493,0.49059862,0.502891,0.5308174,0.004531247264646243,0.0007012083692019494,0.00030373285562898934,-0.0020817381790714912,-0.0005550947534723649,0.001995399528505936,-0.0001959371218402824,-0.011310279582008044,-0.00016028122460664626,0.9113406003462039,Ethnoracial Group,Linear Regression
0.50479937,2.56,11.0,0.50561553,0.33174232,0.4958196,0.544469,0.52046025,0.45165843,0.0008864241093727227,-0.0007005328312740079,-0.0004340797491377865,0.00016075109889736902,0.0005634033263009767,-0.00416338987442075,0.017425958692545197,0.0016538701369811133,0.00017277885057460983,0.9336775269490598,Ethnoracial Group,Linear Regression
0.5048317,2.47,11.0,0.5302061,0.15592435,0.49579868,0.4586001,0.5022796,0.5439519,0.0015864605414409728,-0.0008525288650605572,-0.0004340797491377865,-0.0012415974589229076,0.0011120647357722407,-0.0041259866182860715,-0.010663184348507881,-0.011761424687131431,-0.00021554441913113572,0.8915165223202539,Ethnoracial Group,Linear Regression
0.5047411,3.87,11.0,0.49778765,0.08977252,0.49336168,0.507759,0.5233904,0.59479934,-0.00037528708445736436,0.0015118538827302139,-0.0004340797491377865,0.00060715865385808,0.001318499585901061,0.0002311708960569462,0.005417508123863644,0.003815994490558933,-0.0004294841936023599,0.9297756777949893,Ethnoracial Group,Linear Regression
0.5048317,2.53,14.0,0.49289316,0.3048877,0.49203768,0.51772076,0.5052342,0.50029993,0.0015864605414409728,-0.0007511981758695248,-0.0008029860515211744,0.0008862811383212629,0.0006472064418756542,0.002598375060599597,0.008676165234652792,-0.009581258956680537,-3.1879467325800606e-05,0.9213395089547127,Ethnoracial Group,Linear Regression
0.50464773,2.42,9.0,0.5206665,0.5646871,0.49221995,0.4930731,0.54821336,0.4663062,-0.002397013087000732,-0.0009369711060530851,-0.00018814221421552786,-0.0006975741076064357,-0.00016352925814288612,0.0022724911458932013,0.0006135063748415789,0.022132574305205478,0.00011114859720676347,0.9388588338393458,Ethnoracial Group,Linear Regression
