learning style,gpa,student semester,major,previous courses,course types,course subjects,subjects of interest,extracurricular activities,shap_feature_0,shap_feature_1,shap_feature_2,shap_feature_3,shap_feature_4,shap_feature_5,shap_feature_6,shap_feature_7,shap_feature_8,predicted_class,target,model
0.50464773,2.12,4.0,0.5038685,0.85223144,0.49503082,0.53862023,0.5066779,0.46714258,-0.007788292064299451,-0.01584001352223692,0.000553372775982106,-0.01429736575012328,-0.056579499027840235,-0.04143600354012901,0.0415723359248565,0.0004516583002533782,-0.011483068096460663,0.4,Gender,Random Forest
0.50464773,3.12,5.0,0.51963246,0.5768323,0.4961415,0.50415605,0.52214134,0.4625796,-0.02875928778317392,0.013494902042750287,0.008709834264290586,0.012193788593675337,0.019495257952830962,-0.03400298943760048,-0.03906961992904821,0.022592851508882676,0.020498387787398088,0.5,Gender,Random Forest
0.50464773,3.91,6.0,0.47708422,0.71724033,0.49326536,0.47286057,0.5091858,0.46584684,0.0016873578292602755,0.039826664955231884,0.04622904638978637,-0.0399899695811779,0.04015837541105059,0.007120475220544081,0.005021334702607641,-0.004852500667637717,-4.765925966801908e-05,0.6,Gender,Random Forest
0.50464773,2.57,14.0,0.5135263,0.6336904,0.49713477,0.51388574,0.52136606,0.5902068,0.008746745118616499,0.005970875261541642,0.010376807385206265,-0.004673271427775647,0.0037192820763290277,-0.014653208527325693,-0.05060135503406946,0.017631585218515135,0.0186356649289615,0.5,Gender,Random Forest
0.50464773,2.61,5.0,0.51738775,0.43501395,0.4904812,0.5145079,0.5119271,0.45592058,0.01765507445681858,0.05270415395700685,0.024986588672263575,0.027860894738344796,-0.008517600771687407,0.05080058269858229,-0.005515001886742769,0.009950410688169823,0.025228022447243745,0.7,Gender,Random Forest
0.5048317,3.47,11.0,0.5371097,0.30658233,0.49476072,0.4888652,0.5040356,0.56148285,0.04725552964293319,-0.01981780171332946,-0.021126260462031757,0.028260617325339757,0.04679513520376425,0.023002374245602,-0.03762278724628162,0.06343195748455879,0.06497436051944866,0.7,Gender,Random Forest
0.50479937,2.52,9.0,0.5221081,0.30653518,0.49067768,0.5237623,0.5098185,0.45145604,-0.0037162928391534554,-0.027028453449823228,-0.05480106701527211,0.017818435674082173,0.016456092653720784,-0.003925012822196608,0.043112616332959555,0.05674715480584543,0.05048965165983749,0.6,Gender,Random Forest
0.50464773,3.74,4.0,0.5038685,0.5895269,0.49428052,0.5284233,0.5068652,0.52741605,0.005132992926845252,0.023694298448727023,0.029119405968833934,-0.006667132744576589,0.00879632359692793,0.05953809120665478,0.11537321824499952,0.024983911709638026,0.03518201564194257,0.8,Gender,Random Forest
0.5048317,3.98,3.0,0.5038685,0.74939245,0.4917074,0.49659216,0.4941473,0.53854907,0.02331150350624596,0.1398426229319632,0.017743550537411154,0.014644107299539508,0.014023635697743004,-0.006591697876823387,0.008341881873861725,0.016596504803390824,0.06724101622666691,0.8,Gender,Random Forest
0.50464773,3.0,0.0,0.5038685,0.5016343,0.4990823,0.49378335,0.5284184,0.47200477,-0.16775415063014898,-0.019506332983290468,0.02238798738891485,-0.012211406324533582,-0.01894707065431631,0.011837364564442015,-0.03725156691627449,0.07493129159630482,0.008333675625564462,0.36666666666666664,Gender,Random Forest
0.5049677,3.39,5.0,0.5449382,0.69016385,0.49237493,0.49059862,0.502891,0.5308174,-0.04858038880730312,-0.010753621118794373,0.005353781267495308,-0.07335842989307019,0.08077816097171779,0.026251670761578645,0.016856553329651452,0.03234878918524956,-0.03374339069652726,0.5,Gender,Random Forest
0.50479937,2.56,11.0,0.50561553,0.33174232,0.4958196,0.544469,0.52046025,0.45165843,0.013513950601224064,0.009033603338114789,-0.004529760238528476,0.009014772543061298,0.021656905374354815,-0.06548869031588397,0.026870615782158425,0.06526895558713594,0.019812772328360567,0.6,Gender,Random Forest
