learning style,gpa,student semester,major,previous courses,course types,course subjects,subjects of interest,extracurricular activities,shap_feature_0,shap_feature_1,shap_feature_2,shap_feature_3,shap_feature_4,shap_feature_5,shap_feature_6,shap_feature_7,shap_feature_8,predicted_class,target,model
0.50464773,2.12,4.0,0.5038685,0.85223144,0.49503082,0.53862023,0.5066779,0.46714258,-0.10395817484868088,0.03359465993206772,-0.10811792758523896,-0.14218928729730476,-0.0035386962365414566,0.05209599324276463,0.05923561892274767,-0.22653558556815692,-0.06477410056165891,0.0,Gender,Decision Tree
0.50464773,3.12,5.0,0.51963246,0.5768323,0.4961415,0.50415605,0.52214134,0.4625796,0.012699742234074676,-0.013583852448518254,-0.09023958205574595,-0.05380324574870694,-0.032883357702083074,-0.09123280693358804,-0.14590978651250405,-0.017846016692990956,-0.07138859413994043,0.0,Gender,Decision Tree
0.50464773,3.91,6.0,0.47708422,0.71724033,0.49326536,0.47286057,0.5091858,0.46584684,0.04373901396452688,0.01790789701169749,-0.16189306853879273,-0.22501796170511693,0.017884828942854095,-0.055449086626826675,-0.07402940932662345,-0.01685235900254272,-0.05047735471917946,0.0,Gender,Decision Tree
0.50464773,2.57,14.0,0.5135263,0.6336904,0.49713477,0.51388574,0.52136606,0.5902068,0.0025344172138826344,0.05965303985336903,-0.01935833879351125,0.275721896020046,0.08226207984384996,-0.038569337090562456,-0.013746961172638888,-0.208176395282533,0.35549209940809984,1.0,Gender,Decision Tree
0.50464773,2.61,5.0,0.51738775,0.43501395,0.4904812,0.5145079,0.5119271,0.45592058,0.018842252319649797,0.13271115003729045,0.00268199509698889,0.11513172407107185,0.02896308715483195,0.05457579353059399,0.04897514610528981,0.03842458568838665,0.05550676599589347,1.0,Gender,Decision Tree
0.5048317,3.47,11.0,0.5371097,0.30658233,0.49476072,0.4888652,0.5040356,0.56148285,0.09325510485288753,0.0034413144034931204,0.1000037819765259,0.10144138525880425,0.09604719768593789,0.0026801150623631154,-0.017380732168717716,0.044609315672597634,0.07171501725610878,1.0,Gender,Decision Tree
0.50479937,2.52,9.0,0.5221081,0.30653518,0.49067768,0.5237623,0.5098185,0.45145604,0.04146117181979087,0.05723178374450761,0.19495061795221616,0.3558108168932959,-0.0780534459771753,0.23477495088797395,0.2442945402882637,0.21225187897814785,0.2330901854129891,2.0,Gender,Decision Tree
0.50464773,3.74,4.0,0.5038685,0.5895269,0.49428052,0.5284233,0.5068652,0.52741605,-0.01053916320825834,-0.06617125872260418,-0.026509985394931667,-0.09045692290806591,-0.05020261026122812,-0.12167279807615576,0.04452714380136545,-0.09430926168266708,-0.08885264354745728,0.0,Gender,Decision Tree
0.5048317,3.98,3.0,0.5038685,0.74939245,0.4917074,0.49659216,0.4941473,0.53854907,0.036241796499733595,0.24762039925780563,-0.01650023631507096,0.03571756033408161,0.014689155478300648,0.02844200877270999,0.07561642742257353,0.020401768724431023,0.05358361982543982,1.0,Gender,Decision Tree
0.50464773,3.0,0.0,0.5038685,0.5016343,0.4990823,0.49378335,0.5284184,0.47200477,-0.10482621588951167,-0.014359181309490706,0.0377896071282932,-0.04024558344426941,-7.620056403871344e-06,-0.04445363792169434,0.0003931015729102439,0.08152736725732124,0.07999466266284223,0.5,Gender,Decision Tree
0.5049677,3.39,5.0,0.5449382,0.69016385,0.49237493,0.49059862,0.502891,0.5308174,0.020926792222642304,-0.23290321032199787,-0.0036410133181986153,-0.15493272399873423,-0.09437640713536402,-0.002199945199998786,-0.03768289055235985,-0.002744847205361937,0.003366745509375446,0.0,Gender,Decision Tree
0.50479937,2.56,11.0,0.50561553,0.33174232,0.4958196,0.544469,0.52046025,0.45165843,0.048855382234927906,0.02939304894453595,0.11624350751611852,0.0885505793053593,0.06766403821880747,-0.0889665508727062,0.16458182773731947,0.06281377068061479,0.006676896235016487,1.0,Gender,Decision Tree
0.5048317,2.47,11.0,0.5302061,0.15592435,0.49579868,0.4586001,0.5022796,0.5439519,-0.007975604574343011,0.1636941855766208,0.01014541627777964,0.02989013050561213,0.16859907395916468,0.0612882475277599,-0.035467244680115285,-0.00031963535624226943,0.10595793076375538,1.0,Gender,Decision Tree
0.5047411,3.87,11.0,0.49778765,0.08977252,0.49336168,0.507759,0.5233904,0.59479934,0.01015797513262504,0.05852546609541038,-0.004322686861685914,0.13014810397110863,0.23402265687079415,0.008345699844900857,-0.04643921551097184,-0.0144594075382803,0.11983390799609327,1.0,Gender,Decision Tree
0.5048317,2.53,14.0,0.49289316,0.3048877,0.49203768,0.51772076,0.5052342,0.50029993,-0.09768235626313378,0.06662290436997512,-0.02001733498076938,-0.259812842499585,-0.11018813121028101,0.04095907303168874,-0.005112487022343772,-0.05603869960072233,-0.06291762582483097,0.0,Gender,Decision Tree
0.50464773,2.42,9.0,0.5206665,0.5646871,0.49221995,0.4930731,0.54821336,0.4663062,0.09181929132300498,-0.003627989931651444,-0.0020945411651905345,0.16842427850460293,0.10037661269127238,0.04064101517394186,-0.037688833034959575,0.085765919556461,0.052196746882509734,1.0,Gender,Decision Tree
0.50479937,2.56,10.0,0.52545166,0.5877464,0.49059972,0.5170187,0.48006028,0.4706002,0.00807096746749903,0.12547796844732145,-0.036520190442193935,0.06340020595673361,0.05656792220505679,0.01634332873501147,0.13506245749913223,0.08077890704336296,0.04663093308807431,1.0,Gender,Decision Tree
0.5048317,3.34,6.0,0.51677495,0.59275836,0.49221852,0.4598254,0.5237926,0.46802616,-0.07014675254870215,-0.10194930882445388,-0.05729489577367036,-0.05397093051603413,-0.10461749892242687,-0.05482075719272289,-0.08124864346347209,-0.0019502880366931744,0.02181157527817515,0.0,Gender,Decision Tree
0.5047411,2.77,10.0,0.4965151,0.57380533,0.49158433,0.4652984,0.52415776,0.49539024,0.002359292104503108,0.01883649107879016,0.08061971830767155,0.04717814511696406,0.012834965424101404,0.17207986134872752,0.03252303265934375,-0.024058315594388396,0.15343930955428434,1.0,Gender,Decision Tree
0.5049349,3.1,6.0,0.4871176,0.451194,0.49125364,0.4911052,0.53020155,0.49474376,0.32761841030243716,-0.025308226161994008,-0.024250728198187434,0.02878706496193651,0.04303961455687664,0.10803773609696302,-0.020066303952993372,0.025041709959403673,0.032913222435559,1.0,Gender,Decision Tree
0.5048317,3.46,3.0,0.5038685,0.61557674,0.4928068,0.48129904,0.5236533,0.49047744,-0.010010482601152176,-0.0821985019155172,-0.05925600489862194,-0.06254056932490307,-0.01733835015797236,-0.09055960776481037,0.028018545828597235,-0.15071570405076165,-0.05958682511485762,0.0,Gender,Decision Tree
0.50464773,3.05,12.0,0.5089588,0.74195695,0.4925715,0.4475239,0.5130099,0.514865,0.015929770384826746,0.0224634392284294,-0.020382087327413652,-0.13999254952324977,-0.0483347083869465,-0.03145205904883394,-0.19662800345231674,0.0030213795053183473,-0.1088126813798147,0.0,Gender,Decision Tree
