learning style,gpa,student semester,major,previous courses,course types,course subjects,subjects of interest,extracurricular activities,shap_feature_0,shap_feature_1,shap_feature_2,shap_feature_3,shap_feature_4,shap_feature_5,shap_feature_6,shap_feature_7,shap_feature_8,predicted_class,target,model
0.50464773,2.12,4.0,0.5038685,0.85223144,0.49503082,0.53862023,0.5066779,0.46714258,0.072277798772696,0.09881222677211489,0.08617853027669138,0.01961279192376974,0.15077289840132407,-0.09731205074285619,0.16174539454752507,0.09128486174021318,0.0030884858085401543,1.5,Ethnoracial Group,Random Forest
0.50464773,3.12,5.0,0.51963246,0.5768323,0.4961415,0.50415605,0.52214134,0.4625796,-0.09371678046242017,0.015745844396089805,-0.007214657860125751,-0.13358101404992154,-0.03666504160989723,0.039164363283206084,0.03695427522651213,0.017723556209262935,0.048050392367286573,0.8,Ethnoracial Group,Random Forest
0.50464773,3.91,6.0,0.47708422,0.71724033,0.49326536,0.47286057,0.5091858,0.46584684,-0.017723788866090835,-0.026895562188649153,-0.021863000866174733,0.013703895054778491,-0.09624587521239127,-0.11029988253980028,-0.12514432649419932,-0.11414328177873015,-0.11492723960874258,0.3,Ethnoracial Group,Random Forest
0.50464773,2.57,14.0,0.5135263,0.6336904,0.49713477,0.51388574,0.52136606,0.5902068,-0.05974184438592145,-0.03381229536408005,0.028708080066398318,-0.02063661037175942,0.00871680684781206,0.01035276800137297,-0.012163799192083104,0.039099800110507274,-0.07406196821228428,0.8,Ethnoracial Group,Random Forest
0.50464773,2.61,5.0,0.51738775,0.43501395,0.4904812,0.5145079,0.5119271,0.45592058,-0.02078489773963542,-0.023255168142798592,0.05215673710513245,-0.02678363368602409,0.024621892594048213,0.02235660598373298,0.07941384527862051,-0.02064516205777263,0.09938071816469292,1.1,Ethnoracial Group,Random Forest
0.5048317,3.47,11.0,0.5371097,0.30658233,0.49476072,0.4888652,0.5040356,0.56148285,0.04663307176344689,0.05142987951925569,-0.037774017753702364,0.13174545124919756,0.05839695057137344,0.0155576590490882,0.0652703467293418,-0.003956201893313717,0.25915779826528595,1.5,Ethnoracial Group,Random Forest
0.50479937,2.52,9.0,0.5221081,0.30653518,0.49067768,0.5237623,0.5098185,0.45145604,0.00259990059435667,-0.010627755680981331,0.0038470648293853775,0.022993203933694018,-0.036781548302500175,-0.08812272710733149,0.03339006750475547,0.12212972999441676,0.1370330017342095,1.1,Ethnoracial Group,Random Forest
0.50464773,3.74,4.0,0.5038685,0.5895269,0.49428052,0.5284233,0.5068652,0.52741605,-0.04646882896172424,-0.15832992264848492,0.020267247850540095,-0.07541953554526809,-0.08844751016232785,0.06322417786992578,0.09673312660276909,-0.013243834681357203,-0.011853982824057582,0.7,Ethnoracial Group,Random Forest
0.5048317,3.98,3.0,0.5038685,0.74939245,0.4917074,0.49659216,0.4941473,0.53854907,-0.03200043727063746,0.11874231982553143,0.1256936850244254,-0.013445339025498694,-0.11406646757946082,-0.05522143518047237,0.09741095415643626,0.0480863660564228,0.011261291493246638,1.1,Ethnoracial Group,Random Forest
0.50464773,3.0,0.0,0.5038685,0.5016343,0.4990823,0.49378335,0.5284184,0.47200477,0.13739076127806235,-0.015213766896356958,0.04822695419290068,-0.00014393101113450665,-0.017843436682981686,0.09010533104610297,0.052332563885061426,0.2014543186070181,0.14515214308132193,1.5550000000000002,Ethnoracial Group,Random Forest
0.5049677,3.39,5.0,0.5449382,0.69016385,0.49237493,0.49059862,0.502891,0.5308174,0.14222255976981454,-0.014800129623447815,0.031178726575979837,0.09443660001377763,0.18216883535567183,0.04866793968141895,0.11861372133687638,0.051319450860173456,0.33265323352973813,1.9,Ethnoracial Group,Random Forest
0.50479937,2.56,11.0,0.50561553,0.33174232,0.4958196,0.544469,0.52046025,0.45165843,-0.040624449097175254,-0.015146155800328357,-0.028339604533779858,-0.10238468865797656,-0.030795639524286697,0.054016141775344015,-0.08738156049284748,-0.012906215369083181,0.05002310920013127,0.7,Ethnoracial Group,Random Forest
0.5048317,2.47,11.0,0.5302061,0.15592435,0.49579868,0.4586001,0.5022796,0.5439519,0.10632994476191375,0.12045647065612285,-0.051234473501324485,-0.04200677685441743,0.05242794140824278,0.015309565309826922,0.020893766209735945,0.05258064858670497,0.11170385092318952,1.3,Ethnoracial Group,Random Forest
0.5047411,3.87,11.0,0.49778765,0.08977252,0.49336168,0.507759,0.5233904,0.59479934,-0.040480782388169566,0.07730276026127367,0.015427976418253796,0.08383131473008516,0.14302416399179255,-0.07450650700098532,0.11015317985846364,0.02857144607356798,0.04313738555571627,1.3,Ethnoracial Group,Random Forest
0.5048317,2.53,14.0,0.49289316,0.3048877,0.49203768,0.51772076,0.5052342,0.50029993,-0.09698442617272277,-0.11282233476031299,0.09608125031482982,0.049990462259678556,0.024087166059899436,0.05053755891845624,0.11148760516167229,0.01411755711427663,-0.05003390139578138,1.0,Ethnoracial Group,Random Forest
0.50464773,2.42,9.0,0.5206665,0.5646871,0.49221995,0.4930731,0.54821336,0.4663062,-0.01555391386439585,-0.04550935445920437,-0.028271624688671504,-0.0685776078058642,-0.022866225383953692,-0.05048684620497303,-0.029454048200712134,-0.21173943714692736,-0.14108000474529758,0.3,Ethnoracial Group,Random Forest
0.50479937,2.56,10.0,0.52545166,0.5877464,0.49059972,0.5170187,0.48006028,0.4706002,-0.020109213760476464,-0.015310000035455504,0.0038249535107657017,0.044196331902794796,-0.06995703342122356,0.03624811294976993,0.018935784897639137,0.05322707137383399,0.03540493008233738,1.0,Ethnoracial Group,Random Forest
0.5048317,3.34,6.0,0.51677495,0.59275836,0.49221852,0.4598254,0.5237926,0.46802616,0.03330296243039634,-0.025717238504694484,-0.013951503439373857,0.07095800595688444,0.050513000705606756,-0.0018864204057377535,0.12335663173860488,0.20300846325833274,0.1468770357599927,1.5,Ethnoracial Group,Random Forest
0.5047411,2.77,10.0,0.4965151,0.57380533,0.49158433,0.4652984,0.52415776,0.49539024,0.028286727081935553,0.0031537173558095493,0.03665788334463643,0.09384816961062122,0.014834515180344215,-0.04915354275309992,0.1456359741987899,0.07182027389131966,0.04137721958962816,1.3,Ethnoracial Group,Random Forest
0.5049349,3.1,6.0,0.4871176,0.451194,0.49125364,0.4911052,0.53020155,0.49474376,0.16780864358859535,0.029032667061019445,-0.005780834988425712,-0.05786219511162917,0.0644291898461166,0.11693385937537289,-0.07217834121352078,0.11779385665271584,0.026284092289753702,1.3,Ethnoracial Group,Random Forest
0.5048317,3.46,3.0,0.5038685,0.61557674,0.4928068,0.48129904,0.5236533,0.49047744,0.03571980437256011,-0.11128569658402308,0.009474861634761472,-0.039356663202174735,-0.013509882316194825,-0.04512679447959737,0.0018249958033806247,0.021394340681134005,-0.07267402840985233,0.7,Ethnoracial Group,Random Forest
0.50464773,3.05,12.0,0.5089588,0.74195695,0.4925715,0.4475239,0.5130099,0.514865,0.021740331521843924,-0.062022393327454774,0.03336620999204275,-0.07262475865952435,0.04504857797762677,-0.08803094234882854,0.00904395580069882,-0.09577367457217006,-0.004286368884257416,0.7,Ethnoracial Group,Random Forest
0.50464773,2.94,6.0,0.46356356,0.7735009,0.49278942,0.49694538,0.518089,0.44109064,0.036796895504663925,-0.002345467954363497,-0.06486159729186478,-0.0034131385941198445,-0.06704012993656973,0.08944592119832946,0.02535631522792194,-0.023441250275413644,-0.0040366103785779905,0.9,Ethnoracial Group,Random Forest
0.50479937,2.24,6.0,0.47708422,0.4156695,0.4917074,0.48951572,0.5109478,0.48492146,0.004469322899376451,-0.08421515659972947,-0.027698376482583078,-0.012923113831722852,-0.05240558063462909,-0.023369061090671554,-0.047478818663448864,-0.0018921528186150406,-0.06802612527797876,0.6,Ethnoracial Group,Random Forest
0.5047411,2.43,11.0,0.5335701,0.21719429,0.4913157,0.4981073,0.4976524,0.5029187,-0.018122056595376447,-0.014193449987201012,-0.05030668479836595,7.195965410586895e-05,0.06714824836158571,-0.02200901824404245,0.06801010702996681,-0.2628967814875976,0.018758613566923023,0.7,Ethnoracial Group,Random Forest
0.5047411,2.91,14.0,0.46168894,0.5165297,0.49432257,0.43681246,0.51629645,0.47990173,-0.012437384048960694,-0.06939359775475523,0.027811648577712705,0.009520207608817423,0.037716518037252685,0.07433601502611321,0.06735505783993725,-0.03518104113357863,0.08673351334746494,1.1,Ethnoracial Group,Random Forest
0.5049677,2.19,1.0,0.5038685,0.50871515,0.4947123,0.4962796,0.4949879,0.56973916,0.2591024403391979,0.08989730455552221,0.2442587555603129,-0.017666962111431223,-0.05714787006072507,-0.030031804597654907,0.0630947897570125,0.13985688394118434,0.09509740011657732,1.7,Ethnoracial Group,Random Forest
0.5048317,3.0,0.0,0.5038685,0.5016343,0.4990823,0.49378335,0.51715827,0.47358155,0.047474222277685024,-0.01063277600532962,0.051417059919583535,-0.023860060151309804,-0.010180500803373106,0.14412500166486242,-0.009262844176259994,0.019339161784184513,0.07804167298995998,1.2,Ethnoracial Group,Random Forest
